MPI	NUM_PES 8	Max_Key 268435456	Num_Iters 5	Strong Scaling: 100000 total keys	Round Robin All2All	
TOTAL (sec)	ATA_KEYS (sec)	MAKE_INPUT (sec)	COUNT_BUCKET_SIZES (sec)	BUCKETIZE (sec)	COMPUTE_OFFSETS (sec)	LOCAL_SORT (sec)	ATA_COUNTS (sec)	COMPUTE_RECV_OFFSETS (sec)	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000124	0.000202	0.000131	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088472	0.000126	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088464	0.000126	0.000199	0.000136	0.000174	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000130	0.000200	0.000136	0.000169	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088462	0.000130	0.000267	0.000144	0.000164	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088458	0.000103	0.000200	0.000136	0.000168	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088463	0.000119	0.000205	0.000144	0.000163	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
0.088459	0.000122	0.000200	0.000136	0.000172	0.000000	0.000000	0.000000	0.000000	
